season,week,n_contestants,fsai_rank,fsai_pct,delta_fsai
4,2,11,0.9645880882965431,0.5955577525701818,-0.36903033572636124
8,2,13,0.9483537608706708,0.311847977021037,-0.6365057838496337
11,6,7,0.989903972662051,1.2166726521781763,0.22676867951612534
14,9,4,0.9933459357277883,1.1982672498427671,0.20492131411497883
15,6,8,0.9928174261324859,1.2956272648038007,0.30280983867131483
17,5,9,0.9879891353553645,1.1778456238794803,0.18985648852411585
17,7,8,0.962275330975299,0.7852929955979171,-0.17698233537738195
19,4,10,0.9346354166666668,0.4339104868354062,-0.5007249298312606
19,6,9,0.9586984123286235,0.6499031278817657,-0.3087952844468578
20,2,12,0.9675302481571119,0.811915474023623,-0.1556147741334889
20,5,9,0.8879134462910012,0.3000649712706803,-0.5878484750203209
20,7,7,0.9728981957963915,1.231637227340795,0.2587390315444035
20,9,4,0.974879305448497,1.049675990119366,0.07479668467086897
21,7,8,0.9872082491193482,0.9793645187010857,-0.007843730418262584
21,9,6,0.940469349480722,0.89961714965115,-0.040852199829572
22,8,6,1.0236726405137873,1.5202209411316423,0.49654830061785504
23,2,13,0.9509274461334118,0.3830885158127725,-0.5678389303206394
23,10,5,0.979848338361542,1.133895972481591,0.15404763412004896
24,9,4,1.0203204478863728,1.4965820553387528,0.47626160745238
27,4,10,0.9560768205239073,0.9284228530782136,-0.027653967445693706
28,2,12,0.9338518490329335,0.10206569639691918,-0.8317861526360143
28,4,10,0.9280994645412934,0.17749195400605697,-0.7506075105352364
28,6,9,0.9863054016620499,1.0305253221604593,0.04421992049840939
28,7,8,0.9568016207561351,0.4275478229016621,-0.5292537978544729
29,10,6,0.9785629352811275,1.208054520710919,0.22949158542979153
30,3,14,0.981907952864216,0.7541370615338419,-0.2277708913303741
30,5,11,0.9774693877551018,0.8721495691652629,-0.10531981858983896
31,8,8,0.9666556549188705,0.16643758449212698,-0.8002180704267435
34,4,11,0.9668216701352756,0.8437503284009605,-0.12307134173431511
34,7,9,0.9579383800261285,0.575140718432933,-0.3827976615931955
